AuthorID;ScopusID;Year;PMID;DOI;Title;Status;MeSHList;MeSHTerms;MeSHTreeNumbers;Category;x;y;TI;TD;TY;TC;SearchStatus
R_scmttKhnvJjJcnT;84859741988;2011;21479344;10.1160/THS10-11-0717;Update on lipids, inflammation and atherothrombosis;SCOPUS_PMID;D000818|D050197|D002450|D004730|D006801|D007249|D050356|D015539|D013925|D013927;Animals|Atherosclerosis|Cell Communication|Endothelium, Vascular|Humans|Inflammation|Lipid Metabolism|Platelet Activation|Thromboplastin|Thrombosis;A07.015.700.500|A10.272.491.355|B01.050|B01.050.150.900.649.313.988.400.112.400.400|C14.907.137.126.307|C14.907.355.830|C23.550.470|D12.776.124.125.900|D23.119.965|G03.458|G04.085|G09.188.390.600;AH;0,0;-0,5;0,25;1;0;1,0;PROCESSED_REACHED_H
R_wRipgHE7S3haP97;80053124273;2011;21835695;10.1016/j.coph.2011.07.005;Beyond serial passages: New methods for predicting the emergence of resistance to novel antibiotics;DOI_MATCH;D000818|D000900|D001419|D002999|D024881|D005544|D022761|D056084|D006801|D020071|D008826|D012692;Animals|Anti-Bacterial Agents|Bacteria|Clone Cells|Drug Resistance, Bacterial|Forecasting|Gene Transfer, Horizontal|Genetic Fitness|Humans|Interspersed Repetitive Sequences|Microbial Sensitivity Tests|Serial Passage;A11.251.353|B01.050|B01.050.150.900.649.313.988.400.112.400.400|B03|D27.505.954.122.085|E01.370.225.875.595|E01.370.225.875.837|E05.200.875.595|E05.200.875.837|E05.337.550.400|G02.111.570.080.708.330|G05.347|G05.360.080.708.330|G05.360.340.024.425|G05.728.390|G06.099.225|G06.225.347|G07.690.773.984.269.347|I01.320;ACH;0,0;0,0;0,0;1;2;1,0;PROCESSED_REACHED_H
R_3HztxEZK5AOhfD3;80055024880;2011;22001757;10.1038/ng.970;Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma;SCOPUS_PMID;D000090943|D004798|D055106|D006801|D008099|D020641;Delta-5 Fatty Acid Desaturase|Enzymes|Genome-Wide Association Study|Humans|Liver|Polymorphism, Single Nucleotide;A03.620|B01.050.150.900.649.313.988.400.112.400.400|D08.811|D08.811.682.690.708.392.390|E05.318.370.392|E05.318.416.249|E05.393.385.500|E05.393.522.500|E05.393.760.640.500|G05.365.795.598|N06.850.520.445.392|N06.850.520.470.500;H;0,8660254037844386;-0,5;1,0;1;1;1,0;PROCESSED_REACHED_H
R_3e4be1lSrsDjQsM;80055024880;2011;22001757;10.1038/ng.970;Genome-wide association study identifies loci influencing concentrations of liver enzymes in plasma;SCOPUS_PMID;D000090943|D004798|D055106|D006801|D008099|D020641;Delta-5 Fatty Acid Desaturase|Enzymes|Genome-Wide Association Study|Humans|Liver|Polymorphism, Single Nucleotide;A03.620|B01.050.150.900.649.313.988.400.112.400.400|D08.811|D08.811.682.690.708.392.390|E05.318.370.392|E05.318.416.249|E05.393.385.500|E05.393.522.500|E05.393.760.640.500|G05.365.795.598|N06.850.520.445.392|N06.850.520.470.500;H;0,8660254037844386;-0,5;1,0;1;1;1,0;PROCESSED_REACHED_H
R_WxPUJdOinQ1FQeB;84855215731;2011;22188456;10.2174/138161211798764951;Oxidative stress and mitochondrial impairment after treatment with Anti-Hiv drugs: Clinical implications;DOI_MATCH;D000818|D019380|D000975|D023241|D015658|D006801|D008928|D018384|D017382|D012307;Animals|Anti-HIV Agents|Antioxidants|Antiretroviral Therapy, Highly Active|HIV Infections|Humans|Mitochondria|Oxidative Stress|Reactive Oxygen Species|Risk Factors;A11.284.430.214.190.875.564|A11.284.835.626|B01.050|B01.050.150.900.649.313.988.400.112.400.400|C01.221.250.875|C01.221.812.640.400|C01.778.640.400|C01.925.782.815.616.400|C01.925.813.400|C12.100.937.640.400|C20.673.480|D01.339.431|D01.650.775|D02.389.593|D23.063|D27.505.519.217|D27.505.696.706.125|D27.505.954.122.388.077.088|D27.720.799.047|E02.319.310.075|E05.318.740.600.800.725|G03.673|G07.775.750|N05.715.350.200.700|N05.715.360.750.625.700.700|N06.850.490.625.750|N06.850.520.830.600.800.725;ACH;0,0;0,0;0,0;1;3;1,0;PROCESSED_REACHED_H
R_2TYuFwataEFCCQ6;84855215731;2011;22188456;10.2174/138161211798764951;Oxidative stress and mitochondrial impairment after treatment with Anti-Hiv drugs: Clinical implications;DOI_MATCH;D000818|D019380|D000975|D023241|D015658|D006801|D008928|D018384|D017382|D012307;Animals|Anti-HIV Agents|Antioxidants|Antiretroviral Therapy, Highly Active|HIV Infections|Humans|Mitochondria|Oxidative Stress|Reactive Oxygen Species|Risk Factors;A11.284.430.214.190.875.564|A11.284.835.626|B01.050|B01.050.150.900.649.313.988.400.112.400.400|C01.221.250.875|C01.221.812.640.400|C01.778.640.400|C01.925.782.815.616.400|C01.925.813.400|C12.100.937.640.400|C20.673.480|D01.339.431|D01.650.775|D02.389.593|D23.063|D27.505.519.217|D27.505.696.706.125|D27.505.954.122.388.077.088|D27.720.799.047|E02.319.310.075|E05.318.740.600.800.725|G03.673|G07.775.750|N05.715.350.200.700|N05.715.360.750.625.700.700|N06.850.490.625.750|N06.850.520.830.600.800.725;ACH;0,0;0,0;0,0;1;3;1,0;PROCESSED_REACHED_H
R_3kp7BmouRxNKyFK;80055090641;2011;22046254;10.1371/journal.pone.0026030;Growth of acinetobacter baumannii in pellicle enhanced the expression of potential virulence factors;SCOPUS_PMID;D040981|D001426|D018441|D044622|D015964|D006801|D008565|D040901|D037521;Acinetobacter baumannii|Bacterial Proteins|Biofilms|Dental Pellicle|Gene Expression Regulation, Bacterial|Humans|Membrane Proteins|Proteomics|Virulence Factors;A14.549.167.900.255.500|A20.593|B01.050.150.900.649.313.988.400.112.400.400|B03.440.400.425.537.050.099|B03.660.250.530.050.099|D12.776.097|D12.776.543|D23.946.896|G05.308.300|G06.120|H01.158.201.843|H01.158.273.180.350.700|H01.158.273.343.350.700|H01.181.122.738;CH;0,4330127018922193;0,25;0,25;1;5;1,0;PROCESSED_REACHED_H
R_UEelXkoGa4Vcvjr;80052326256;2011;21624506;10.1016/j.arr.2011.05.002;Neurophysiological and epigenetic effects of physical exercise on the aging process;SCOPUS_PMID;D000375|D000818|D060825|D044127|D015444|D006801|D007249;Aging|Animals|Cognitive Dysfunction|Epigenesis, Genetic|Exercise|Humans|Inflammation;B01.050|B01.050.150.900.649.313.988.400.112.400.400|C23.550.470|F03.615.250.700|G05.308.203|G07.345.124|G11.427.410.698.277|I03.350;AH;0,0;-0,5;0,25;1;1;1,0;PROCESSED_REACHED_H
R_3szzl5qdO4IygeB;79954992068;2011;21052872;10.1007/s12015-010-9195-5;The Stem Cell Niche Should be a Key Issue for Cell Therapy in Regenerative Medicine;SCOPUS_PMID;D000818|D018380|D006801|D045164|D059630|D044968|D055153;Animals|Hematopoietic Stem Cell Transplantation|Humans|Mesenchymal Stem Cell Transplantation|Mesenchymal Stem Cells|Regenerative Medicine|Stem Cell Niche;A11.329.830.500|A11.872.590.500|B01.050|B01.050.150.900.649.313.988.400.112.400.400|E02.095.147.500.500.500|E02.095.147.500.500.625|E04.936.225.687.500|E04.936.225.687.625|G04.366.249|H02.403.750;ACH;0,0;0,0;0,0;1;1;1,0;PROCESSED_REACHED_H
R_1PcKy6BiB7ZxI6g;79953038399;2011;21382897;10.1161/CIR.0b013e318214876d;2011 ACCF/AHA/HRS focused updates incorporated into the ACC/AHA/ESC 2006 guidelines for the management of patients with atrial fibrillation: A report of the American College of Cardiology Foundation/American Heart Association Task Force on Practice Guidelines;SCOPUS_PMID;D026683|D000572|D000889|D001281|D002309|D004554|D005260|D005343|D006801|D015994|D008297|D015995|D011379|D011788|D013923|D014481;Advisory Committees|American Heart Association|Anti-Arrhythmia Agents|Atrial Fibrillation|Cardiology|Electric Countershock|Female|Fibrinolytic Agents|Humans|Incidence|Male|Prevalence|Prognosis|Quality of Life|Thromboembolism|United States;B01.050.150.900.649.313.988.400.112.400.400|C14.280.067.198|C14.907.355.590|C23.550.073.198|D27.505.519.421.750|D27.505.954.411.097|D27.505.954.411.320|D27.505.954.502.427|E01.789|E02.331.350|E05.318.308.985.525.375|E05.318.308.985.525.750|H02.403.429.163|I01.800|K01.752.400.750|N01.224.935.597.500|N01.224.935.597.750|N03.540.630.780.110|N03.706.742.500|N06.850.505.400.425.837|N06.850.505.400.975.525.375|N06.850.505.400.975.525.750|N06.850.520.308.985.525.375|N06.850.520.308.985.525.750|Z01.107.567.875;H;0,8660254037844386;-0,5;1,0;1;0;1,0;PROCESSED_REACHED_H
