AuthorNumber;AuthorID;NArticles;NReachedH;TF;TDMean;TYMean;TCMean;TIMean;xMean;yMean
1;R_1CyzoGr8deBYFQf;1;1;1,0;2,0;8,0;0,5;;;
2;R_1EgLtX4FPdztzIr;1;1;1,0;1,0;3,0;1,0;;;
3;R_1KRh4hJD9WSrsC9;1;1;1,0;1,0;0,0;1,0;1,0;0,8660254037844386;-0,5
4;R_1Ks4wyJRSBZS361;1;1;1,0;1,0;1,0;1,0;1,0;0,8660254037844386;-0,5
5;R_1LT0nn1E8TdU3Dy;1;1;1,0;1,0;1,0;1,0;1,0;0,8660254037844386;-0,5
6;R_1LjPfMwLOxgmMmo;1;1;1,0;1,0;3,0;1,0;;;
7;R_1PcKy6BiB7ZxI6g;3;3;1,0;1,0;0,3333333333333333;1,0;1,0;0,8660254037844387;-0,5
8;R_1PdA9MQ7EvCxCNM;1;1;1,0;1,0;3,0;1,0;0,25;0,0;-0,5
9;R_1QLC8QNjb1ovdKy;1;1;1,0;1,0;1,0;1,0;0,25;0,0;-0,5
10;R_1dMlJiNA4dMOvG5;1;1;1,0;1,0;2,0;1,0;;;
11;R_1dbQAzNiqKELdSa;2;2;1,0;1,0;0,0;1,0;1,0;0,8660254037844386;-0,5
12;R_1gADk8ssxz07txF;1;1;1,0;1,0;1,0;1,0;0,25;0,4330127018922193;0,25
13;R_1jImwD3GXrpfYrE;1;1;1,0;1,0;1,0;1,0;-0,5;-0,8660254037844386;-0,5
14;R_1pROXWiMeJqeeFS;3;3;1,0;1,0;3,3333333333333335;1,0;-0,25;-0,21650635094610965;0,125
15;R_1rv3uXELh2JgBjs;1;1;1,0;1,0;1,0;1,0;0,25;0,4330127018922193;0,25
16;R_21A1xy3xHCP530Y;1;1;1,0;1,0;5,0;1,0;0,25;0,0;-0,5
17;R_21AqWeoTDeYCaGp;1;1;1,0;1,0;3,0;1,0;1,0;0,8660254037844386;-0,5
18;R_242kz23UYqDQHmm;1;1;1,0;2,0;3,0;0,5;-0,5;-0,4330127018922193;0,25
19;R_24w3cMwGL6BPAYo;1;1;1,0;1,0;1,0;1,0;0,25;0,4330127018922193;0,25
20;R_29oI8L5RwlgHjte;1;1;1,0;1,0;5,0;1,0;-0,5;-0,4330127018922193;0,25
21;R_2Beu9kcftbqIbNC;2;2;1,0;1,0;0,5;1,0;0,625;0,4330127018922193;-0,5
22;R_2E02cgEDo6RDsOW;1;1;1,0;1,0;1,0;1,0;;;
23;R_2E9JfezahHLaSzD;1;1;1,0;1,0;4,0;1,0;1,0;0,8660254037844386;-0,5
24;R_2P8aL7JdUlooXb5;1;1;1,0;2,0;3,0;0,5;0,0;0,0;0,0
25;R_2PgHHBXzKQJU5gq;1;1;1,0;1,0;0,0;1,0;0,0;0,0;0,0
26;R_2TNxHa7BvD94Dl3;2;2;1,0;1,0;3,0;1,0;0,25;0,0;-0,5
27;R_2TYuFwataEFCCQ6;2;2;1,0;1,0;2,5;1,0;0,125;0,21650635094610965;0,125
28;R_2U4949NtIn0aKKE;1;1;1,0;2,0;3,0;0,5;0,0;0,0;0,0
29;R_2V7N9VxU5DbyyiK;1;1;1,0;1,0;1,0;1,0;0,0;0,0;0,0
30;R_2YsoiE32J6WoxU1;2;2;1,0;1,0;2,5;1,0;-0,25;-0,21650635094610965;0,125
31;R_2aLUnrZ1SKUjPFv;1;1;1,0;1,0;1,0;1,0;0,25;0,4330127018922193;0,25
32;R_2c7pJwAlmMI37Zc;1;1;1,0;1,0;1,0;1,0;1,0;0,8660254037844386;-0,5
33;R_2z5VgVMRgaQ3A2p;1;1;1,0;1,0;1,0;1,0;1,0;0,8660254037844386;-0,5
34;R_2zeX8pzuhnqQz50;1;1;1,0;1,0;1,0;1,0;1,0;0,8660254037844386;-0,5
35;R_306qXbX9GFayZNG;1;1;1,0;1,0;3,0;1,0;1,0;0,8660254037844386;-0,5
